Country	Operator	Network	CC	MCC	MNC	OperatorId	Command	
Antigua & Barbuda	Unallocated prefix	Unallocated prefix	1268	n/a	n/a	26	Edit	
Argentina	AMX Argentina	Claro Argentina	54	722	03	27	Edit	
Argentina	AMX Argentina	Claro Argentina	54	722	310	27	Edit	
Argentina	AMX Argentina	Claro Argentina	54	722	320	27	Edit	
Argentina	AMX Argentina	Claro Argentina	54	722	330	27	Edit	
Argentina	Nextel Argentina	Nextel Argentina	54	722	02	28	Edit	
Argentina	Nextel Argentina	Nextel Argentina	54	722	20	28	Edit	
Argentina	Nextel Argentina	Nextel Argentina	54	722	020	28	Edit	
Argentina	Telecom Personal	Personal	54	722	34	29	Edit	
Argentina	Telecom Personal	Personal	54	722	36	29	Edit	
Argentina	Telecom Personal	Personal	54	722	340	29	Edit	
Argentina	Telecom Personal	Personal	54	722	341	29	Edit	
Argentina	Telefonica Argentina	Movistar Argentina	54	722	07	1012	Edit	
Argentina	Telefonica Argentina	Movistar Argentina	54	722	10	1012	Edit	
Argentina	Telefonica Argentina	Movistar Argentina	54	722	010	1012	Edit	
Argentina	Telefonica Argentina	Movistar Argentina	54	722	70	1012	Edit	
Argentina	Telefonica Argentina	Movistar Argentina	54	722	070	1012	Edit	
Argentina	Unallocated prefix	Unallocated prefix	54	n/a	n/a	30	Edit	
Armenia	ArmenTel	Beeline Armenia	374	283	01	31	Edit	
Armenia	K Telecom	MTS Armenia	374	283	05	32	Edit	
Armenia	Karabakh Telecom	Karabakh Telecom	374	283	04	1104	Edit	
Armenia	Orange Armenia	Orange Armenia	374	283	10	1089	Edit	
Armenia	Unallocated prefix	Unallocated prefix	374	n/a	n/a	33	Edit	
Aruba	NMTS	Digicel Aruba	297	363	02	34	Edit	
Aruba	SETAR	SETAR	297	363	01	35	Edit	
Aruba	Unallocated prefix	Unallocated prefix	297	n/a	n/a	36	Edit	
Ascension Island	Unallocated prefix	Unallocated prefix	247	n/a	n/a	1020	Edit	
Australia	Lycamobile Australia	Lycamobile Australia	61	505	19	1237	Edit	
Australia	Singtel Optus	Optus	61	505	02	38	Edit	
Australia	Telstra	Telstra	61	505	01	39	Edit	
Australia	Telstra	Telstra	61	505	88	39	Edit	
Australia	Unallocated prefix	Unallocated prefix	61	n/a	n/a	40	Edit	
Australia	Vodafone Pacific	Vodafone Pacific	61	505	03	41	Edit	
Australia	Vodafone Pacific	Vodafone Pacific	61	505	06	41	Edit	
Australia	Vodafone Pacific	Vodafone Pacific	61	505	12	41	Edit	
Australia	Vodafone Pacific	Vodafone Pacific	61	505	38	41	Edit	
Austria	Hutchison 3 Austria	3 Austria	43	232	05	42	Edit	
Austria	Hutchison 3 Austria	3 Austria	43	232	10	42	Edit	
Austria	Hutchison 3 Austria	3 Austria	43	232	12	42	Edit	
Austria	Hutchison 3 Austria	3 Austria	43	232	13	42	Edit	
Austria	Hutchison 3 Austria	3 Austria	43	232	17	42	Edit	
Austria	Mobilkom	Mobilkom	43	232	01	43	Edit	
Austria	Mobilkom	Mobilkom	43	232	02	43	Edit	
Austria	Mobilkom	Mobilkom	43	232	08	43	Edit	
Austria	Mobilkom	Mobilkom	43	232	09	43	Edit	
Austria	Mobilkom	Mobilkom	43	232	11	43	Edit	
Austria	Mobilkom	Mobilkom	43	232	15	43	Edit	
Austria	T-Mobile Austria	T-Mobile Austria	43	232	03	46	Edit	
Austria	T-Mobile Austria	T-Mobile Austria	43	232	07	46	Edit	
Austria	Tele2 Austria	Tele2 Austria	43	232	19	1610	Edit	
Austria	Unallocated prefix	Unallocated prefix	43	n/a	n/a	47	Edit	
Azerbaijan	Azercell	Azercell	994	400	01	48	Edit	
Azerbaijan	Azerfon	Nar Mobile	994	400	04	49	Edit	
Azerbaijan	Bakcell	Bakcell	994	400	02	50	Edit	
Azerbaijan	Catel	Catel	994	400	03	51	Edit	
Azerbaijan	Unallocated prefix	Unallocated prefix	994	n/a	n/a	52	Edit	
Bahamas	Bahamas Telecom	Bahamas Telecom	1242	364	390	53	Edit	
Bahamas	Unallocated prefix	Unallocated prefix	1242	n/a	n/a	54	Edit	
Bahrain	Batelco	Batelco	973	426	01	55	Edit	
